Tamanho,FuncaoHash,Quantidade,TempoInsercao,TempoBusca,Colisoes,Comparacoes
1000,Resto,10000,13387000,4658880,9000,300280
1000,Multiplicacao,10000,12610700,9522640,9000,298905
1000,Dobramento,10000,37418600,30608220,9941,8165175
1000,Resto,50000,24094900,22930600,49000,6492145
1000,Multiplicacao,50000,29126900,23015860,49000,6503575
1000,Dobramento,50000,445513000,417031220,49935,203263455
1000,Resto,20000,3263800,2711720,19000,1100290
1000,Multiplicacao,20000,3851800,4008120,19000,1097555
1000,Dobramento,20000,57276000,60252200,19938,32432145
2000,Resto,10000,984100,672900,8010,174575
2000,Multiplicacao,10000,1505400,1061460,8013,174360
2000,Dobramento,10000,11787800,11532240,9941,8165175
2000,Resto,50000,11761500,10060600,48000,3375070
2000,Multiplicacao,50000,16676100,14852340,48000,3379840
2000,Dobramento,50000,443214700,445554380,49935,203263455
2000,Resto,20000,2695900,1938440,18000,601150
2000,Multiplicacao,20000,4536100,3397480,18001,599260
2000,Dobramento,20000,58253200,59997100,19938,32432145
5000,Resto,10000,3902200,595220,5673,99560
5000,Multiplicacao,10000,1308700,869180,5677,99775
5000,Dobramento,10000,10276600,10128320,9941,8165175
5000,Resto,50000,6009500,5845080,45001,1496205
5000,Multiplicacao,50000,10248900,8137940,45000,1501640
5000,Dobramento,50000,439944700,443108200,49935,203263455
5000,Resto,20000,1915600,1394740,15094,299105
5000,Multiplicacao,20000,2958500,2203180,15080,299065
5000,Dobramento,20000,56687400,57184440,19938,32432145
